track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Homegrown Honey,Darius Rucker,C#/Db,0.6697247706422018,0.9109785458295451,0.8822543052132065,0.05108135942327498,0.12248995983935743,0.04892747701736465,0.8824721377912867,0.3997310227949094,0.03902187038191432,2015.0,20,True
Vulnerable,Selena Gomez,A#/Bb,0.7084607543323139,0.5728970681934347,0.8183677918070995,0.17198764160659116,0.13253012048192772,0.15934627170582225,0.3850050658561297,0.4544942365272862,0.0365012303006261,2020.0,1,True
200 Hz - 250 Hz Gamma Drone,Alfachronic,C,0.10163098878695208,0.044169644884417145,0.644264466690142,0.06879505664263647,0.9829317269076305,0.12053115423901939,0.029584599797365756,0.30220406828022706,0.03937536632602392,2019.0,0,False
Oops!...I Did It Again - Remastered,Britney Spears,B,0.7787971457696228,0.828958779065755,0.8737361034257256,0.04830072090628218,0.25702811244979923,0.2870275791624106,0.8784194528875381,0.4319992003380389,0.0403613505288767,2014.0,0,False
U Know,Fossa Beats,F,0.8318042813455656,0.34184138377348944,0.8636920032865503,0.12049433573635429,0.6616465863453815,0.11031664964249233,0.3140830800405269,0.5811179819439964,0.039290757151060465,2015.0,0,False
Like A Hippo,JPattersson,C#/Db,0.6931702344546381,0.31083391097254437,0.7312909770779885,0.050051493305870234,0.5210843373493976,0.10040858018386108,0.28368794326241137,0.40857728323935794,0.05788297936843907,2014.0,0,False
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,C#/Db,0.49949031600407745,0.6179079158077098,0.8724784948941093,0.10710607621009269,0.022188755020080324,0.26455566905005107,0.28976697061803447,0.4529903268163913,0.038369369180147,2021.0,25,True
Some Of It,Eric Church,C,0.5708460754332314,0.7359363606629199,0.8447943390847963,0.04593202883625129,0.3423694779116466,0.15832482124616953,0.8348530901722391,0.3627693747643042,0.03709072045405999,2019.0,13,True
No Pressure,Justin Bieber Featuring Big Sean,C#/Db,0.6564729867482161,0.5949023714715247,0.8519878598856414,0.22142121524201855,0.1214859437751004,0.2849846782431052,0.5612968591691997,0.6764822143366669,0.05526207642407941,2015.0,4,True
ZITTI E BUONI,Måneskin,E,0.63710499490316,0.938985295456205,0.915069503831514,0.06889804325437694,0.0013855421686746988,0.43309499489274766,0.6524822695035462,0.4679794450527731,0.03701938719179572,2021.0,11,True
POWER,Kanye West,C,0.5535168195718655,0.914979510061925,0.8877207102972986,0.11637487126673533,0.016265060240963854,0.7599591419816139,0.5845997973657548,0.6996951288773382,0.056300371685925985,2010.0,16,True
2 Reasons,Trey Songz Featuring T.I.,B,0.7482161060142711,0.7459387712438699,0.8819860153931284,0.07847579814624099,0.0013554216867469882,0.1818181818181818,0.546099290780142,0.42724212037638637,0.037582127371880505,2012.0,20,True
I'll Make a Widow of You,JT Music,F#/Gb,0.3221202854230377,0.5568932112639148,0.8799067692875228,0.03892893923789908,0.4317269076305221,0.15117466802860058,0.4356636271529889,0.3784945454875894,0.05203781296973448,2017.0,0,False
About The Money,T.I. Featuring Young Thug,A,0.8256880733944955,0.7209327447914948,0.884065261498734,0.27291452111225545,0.048895582329317275,0.09050051072522981,0.5592705167173253,0.46342682411526037,0.05194646676444607,2015.0,20,True
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,C#/Db,0.7166156982670743,0.7569414228829149,0.9067357512953367,0.05149330587023687,0.6194779116465864,0.10827374872318692,0.7051671732522796,0.3726061255923632,0.042361455943586486,2018.0,23,True
